timestamp,user_id,client_type,symbol,side,quantity,price
2023-03-17 14:24:00,1001,gold,AAPL,buy,7.67,157.35
2023-02-23 07:31:00,1001,gold,AAPL,buy,1.84,156.98
2023-02-13 03:29:00,1001,gold,SPY,sell,8.28,417.01
2023-02-18 02:41:00,1001,gold,AAPL,sell,1.87,175.42
2023-01-30 09:52:00,1001,gold,QQQ,sell,8.46,351.83
2023-03-27 09:06:00,1001,gold,AAPL,buy,8.8,161.4
2023-01-29 23:22:00,1001,gold,AAPL,buy,5.81,157.34
2023-02-10 07:15:00,1001,gold,MSFT,buy,3.06,290.71
2023-03-16 14:37:00,1001,gold,SPY,sell,8.96,437.25
2023-01-20 21:25:00,1001,gold,QQQ,sell,4.26,384.44
2023-01-02 23:13:00,1001,gold,GOOGL,sell,6.37,2678.77
2023-02-03 17:05:00,1001,gold,AAPL,sell,7.92,160.21
2023-03-11 18:06:00,1001,gold,GOOGL,buy,8.83,2691.68
2023-01-31 19:21:00,1001,gold,AAPL,sell,5.4,153.36
2023-03-12 05:38:00,1001,gold,AAPL,buy,7.59,174.48
2023-03-27 22:10:00,1001,gold,MSFT,sell,9.68,307.59
2023-03-17 07:31:00,1001,gold,MSFT,sell,9.1,282.56
2023-02-05 22:50:00,1001,gold,AAPL,buy,7.37,151.77
2023-02-22 06:29:00,1001,gold,SPY,buy,5.85,412.15
2023-03-24 03:21:00,1001,gold,AAPL,buy,6.93,160.63
2023-01-24 09:30:00,1001,gold,AAPL,sell,7.55,174.02
2023-03-11 00:30:00,1001,gold,SPY,buy,8.87,404.9
2023-02-19 09:03:00,1001,gold,AAPL,buy,2.5,164.57
2023-02-07 07:25:00,1001,gold,SPY,sell,4.81,435.92
2023-03-07 02:44:00,1001,gold,AAPL,buy,7.73,151.71
2023-03-18 01:21:00,1001,gold,GOOGL,buy,6.36,2570.56
2023-01-31 09:03:00,1001,gold,QQQ,buy,4.77,378.65
2023-03-14 03:24:00,1001,gold,SPY,buy,7.05,403.63
2023-02-26 18:32:00,1001,gold,AAPL,buy,5.55,153.97
2023-01-14 18:53:00,1001,gold,MSFT,buy,7.01,284.14
2023-02-02 01:44:00,1001,gold,GOOGL,sell,3.54,2602.86
2023-02-26 18:49:00,1001,gold,AAPL,sell,8.46,151.32
2023-03-12 05:03:00,1001,gold,SPY,buy,2.01,401.8
2023-03-29 08:31:00,1001,gold,SPY,buy,1.38,401.99
2023-01-21 06:02:00,1001,gold,AAPL,sell,8.02,176.52
2023-02-01 09:06:00,1001,gold,SPY,buy,2.61,433.5
2023-01-30 07:36:00,1001,gold,GOOGL,buy,4.44,2641.21
2023-03-28 18:18:00,1001,gold,AAPL,buy,4.59,158.36
2023-02-25 11:47:00,1001,gold,MSFT,buy,2.04,318.5
2023-01-01 17:44:00,1001,gold,MSFT,sell,6.46,303.06
2023-02-08 17:18:00,1001,gold,QQQ,buy,4.28,383.92
2023-01-23 21:00:00,1001,gold,MSFT,sell,3.94,287.67
2023-02-11 15:52:00,1001,gold,QQQ,sell,4.65,374.27
2023-02-06 17:35:00,1001,gold,SPY,sell,7.08,436.8
2023-01-06 08:21:00,1001,gold,QQQ,sell,1.84,355.89
2023-01-19 22:23:00,1001,gold,SPY,buy,5.1,419.2
2023-01-16 15:34:00,1001,gold,AAPL,buy,8.01,156.57
2023-03-06 14:33:00,1001,gold,GOOGL,sell,7.01,2678.64
2023-03-08 16:32:00,1001,gold,QQQ,sell,9.07,375.51
2023-01-20 07:53:00,1001,gold,GOOGL,sell,4.96,2570.35
2023-02-23 13:17:00,1001,gold,SPY,buy,7.36,420.79
2023-02-23 18:22:00,1001,gold,QQQ,buy,8.71,380.14
2023-01-22 15:57:00,1001,gold,QQQ,buy,5.39,381.93
2023-01-24 01:42:00,1001,gold,GOOGL,buy,9.16,2698.9
2023-02-23 08:36:00,1001,gold,MSFT,sell,3.95,315.19
2023-03-25 01:22:00,1001,gold,AAPL,sell,1.17,166.18
2023-01-28 15:52:00,1001,gold,AAPL,buy,2.79,150.61
2023-01-14 19:45:00,1001,gold,MSFT,sell,2.51,284.58
2023-03-22 08:17:00,1001,gold,AAPL,sell,6.18,177.24
2023-02-24 22:34:00,1001,gold,AAPL,sell,8.65,168.01
2023-02-28 05:13:00,1002,gold,AAPL,sell,1.11,162.6
2023-02-25 20:13:00,1002,gold,SPY,buy,7.6,426.91
2023-03-20 22:48:00,1002,gold,MSFT,sell,8.67,315.27
2023-03-18 23:56:00,1002,gold,SPY,sell,1.26,439.89
2023-03-02 22:02:00,1002,gold,MSFT,buy,5.65,296.26
2023-03-02 18:53:00,1002,gold,SPY,sell,8.14,415.31
